team,rating,rank
Artsakh,1557.3075502843958,116
Corsica,1555.8283461407927,117
Chameria,1553.9099953842806,118
Yorkshire,1553.3015666036304,119
China,1552.3552358203099,120
Zambia,1550.1044686825428,121
Arameans Suryoye,1546.3357868074581,122
Quebec,1546.1627156012637,123
Cascadia,1545.332541615364,124
Qatar,1542.2618680785283,125
Bahrain,1540.796501678098,126
Bulgaria,1540.236188011372,127
Benin,1539.174827528948,128
Gambia,1538.9436126164092,129
Zanzibar,1534.0939691678302,130
Thailand,1532.9097899964775,131
Trinidad and Tobago,1531.423019852055,132
Libya,1530.375296194906,133
Maule Sur,1528.345836909456,134
Galicia,1527.7146321773096,135
Gabon,1521.2792725234408,136
Asturias,1520.5297736017358,137
Western Armenia,1518.608078279345,138
Montenegro,1518.4343895907712,139
Surrey,1516.2130161900427,140
Canary Islands,1515.1316555566718,141
Biafra,1514.7073901787464,142
Elba Island,1514.330929818719,143
Parishes of Jersey,1513.8863125933776,144
Uganda,1512.8790787363944,145
Donetsk PR,1511.8360495829952,146
Kazakhstan,1511.160060168118,147
Guadeloupe,1510.7777513447359,148
Madagascar,1509.9253751170017,149
Mapuche,1508.4707999873015,150
Felvidék,1507.4805319673744,151
Silesia,1506.996857911125,152
Tahiti,1505.7809677952378,153
Crimea,1504.836580092886,154
Brittany,1504.264585898001,155
Indonesia,1503.8535434742605,156
Shetland,1503.202124268888,157
United Koreans in Japan,1501.1367187221044,158
Délvidék,1500.2243801890118,159
Niger,1498.8474615686966,160
Togo,1495.6608949400654,161
Central Spain,1495.317158400716,162
Saugeais,1494.740172782764,163
Székely Land,1494.7128862840202,164
Mozambique,1494.281418950323,165
North Korea,1493.466083286291,166
El Salvador,1492.4148329283933,167
Cilento,1490.6493106482367,168
Madrid,1489.4835944979682,169
Nicaragua,1489.4831312556141,170
Luhansk PR,1489.1604644095949,171
North Vietnam,1487.7645105440427,172
Sápmi,1487.2278703858706,173
Seborga,1486.4328644606987,174
Comoros,1485.6101508626575,175
Sealand,1483.9336304392857,176
Yoruba Nation,1483.5040663083853,177
Matabeleland,1482.072190205886,178
Malaysia,1481.6268130133376,179
Republic of St. Pauli,1480.8221265943182,180
Guyana,1480.27082290165,181
Franconia,1478.1578460000658,182
Somaliland,1477.687883983176,183
South Ossetia,1475.60895380229,184
Zimbabwe,1475.4117671429258,185
Sudan,1475.0382316945388,186
Kuwait,1474.8558473573996,187
Ryūkyū,1474.4367188044218,188
West Papua,1474.3238390774786,189
Åland Islands,1473.385308353392,190
Martinique,1473.217677453554,191
Sierra Leone,1470.7749860425897,192
Kenya,1470.6491838634636,193
Gozo,1469.304343692888,194
South Yemen,1468.9109927746263,195
Vietnam,1468.569694636073,196
Luxembourg,1467.7044144112115,197
Greenland,1465.2338496816312,198
Romani people,1463.7766891550323,199
Aymara,1463.1833631032425,200
Hmong,1461.0543468208928,201
Provence,1460.1683639007558,202
Dominican Republic,1459.8808870457374,203
Kabylia,1455.7938322609198,204
East Turkestan,1455.1555336372624,205
Mayotte,1454.947119510115,206
Kyrgyzstan,1452.7797267257047,207
Monaco,1452.055481709706,208
Chechnya,1451.2802180256424,209
Rwanda,1447.2411989896043,210
Saarland,1446.7595929074935,211
Mauritania,1444.4708819062776,212
Equatorial Guinea,1444.1782541691282,213
Gotland,1443.75659952138,214
French Guiana,1443.462750536876,215
Armenia,1443.0046535083525,216
Papua New Guinea,1442.7991186702736,217
Lebanon,1441.939660803492,218
Tajikistan,1437.5873480163582,219
Malawi,1437.556737454584,220
Liberia,1437.0801950730508,221
Western Isles,1436.05156072913,222
Faroe Islands,1433.6039853677885,223
Manchukuo,1430.3536937259698,224
Găgăuzia,1429.5472915582618,225
Vanuatu,1429.4688960322394,226
Niue,1425.805196037905,227
Namibia,1423.443194388825,228
Estonia,1423.148752900627,229
Palau,1420.7519717374475,230
Lesotho,1418.107739400395,231
Tanzania,1417.5294242237246,232
Marshall Islands,1417.4756408516173,233
Saint Barthélemy,1412.6438538085292,234
Vatican City,1411.211895579188,235
Ticino,1409.7161936261487,236
Fiji,1408.4953646791207,237
Raetia,1408.2614287479391,238
Cuba,1406.086663980231,239
Two Sicilies,1404.9003446342633,240
Azerbaijan,1401.3873266212295,241
Western Sahara,1400.191187883271,242
Orkney,1397.2814352167134,243
Western Australia,1395.4076071310926,244
Ambazonia,1392.2010792937836,245
Ethiopia,1391.8385549033403,246
Turkmenistan,1387.068612201678,247
Botswana,1386.9188494327143,248
Burundi,1386.9004708873495,249
Cyprus,1371.082718427041,250
Central African Republic,1361.3705389801894,251
Guinea-Bissau,1360.7482636958327,252
Chagos Islands,1359.4848787933615,253
Barawa,1358.3983418893233,254
Yemen DPR,1355.1846894147775,255
Malta,1355.0291655843412,256
Lithuania,1350.298600880702,257
Solomon Islands,1349.053498884672,258
Saint Helena,1348.611465978089,259
Vietnam Republic,1347.196658298717,260
Puerto Rico,1344.8543200516172,261
Hitra,1343.4953822693203,262
Latvia,1342.3447997385733,263
Saint Vincent and the Grenadines,1341.9247993676659,264
Saare County,1340.8145552757633,265
Philippines,1340.0437154460544,266
Bermuda,1337.6703943118682,267
Congo,1329.340034228518,268
Sark,1327.7226171325178,269
Micronesia,1320.5046052740922,270
Moldova,1316.6369230340363,271
Eswatini,1315.8775093164104,272
Hong Kong,1311.0577478349146,273
Yemen,1306.736613814657,274
Singapore,1293.858578060259,275
Wallis Islands and Futuna,1291.5081074809907,276
Sint Maarten,1287.7661131360428,277
Saint Pierre and Miquelon,1287.1616110127034,278
Saint Martin,1286.1764111592945,279
Grenada,1280.289698334912,280
Belize,1279.1481066483323,281
Darfur,1274.784045511796,282
South Sudan,1270.1586652376998,283
Tibet,1267.1237177594644,284
Saint Kitts and Nevis,1261.3927769339125,285
Chad,1245.9396885159179,286
India,1236.8827139102673,287
Montserrat,1235.4790657272015,288
Kiribati,1224.726654334289,289
Saint Lucia,1223.4696400119096,290
Samoa,1216.0952779507531,291
Aruba,1215.5018003056323,292
Falkland Islands,1214.359728587549,293
Mauritius,1207.6606596583167,294
Tuvalu,1207.0912172954431,295
Eritrea,1196.5494148726364,296
Frøya,1194.2725580549557,297
São Tomé and Príncipe,1181.019412792101,298
Afghanistan,1173.0044249399382,299
Dominica,1172.3754112044103,300
Andorra,1148.3352057239608,301
Gibraltar,1146.4536296555623,302
Myanmar,1135.768285002115,303
Bangladesh,1131.8276235396945,304
Cook Islands,1130.6762984472605,305
Bonaire,1129.3376334771917,306
Antigua and Barbuda,1127.9001282452377,307
Barbados,1127.0533644260502,308
Pakistan,1120.9886340668927,309
Nepal,1103.2932896349816,310
Alderney,1076.957232779768,311
Cambodia,1076.813288784085,312
Djibouti,1074.838074331249,313
Somalia,1060.2562787753345,314
Taiwan,1058.701594722663,315
Tonga,1056.2879420980487,316
Cayman Islands,1041.4483089947137,317
British Virgin Islands,1028.9231969403868,318
Sri Lanka,1011.5034168835309,319
Seychelles,1010.5311974440261,320
Turks and Caicos Islands,1005.9670890666262,321
Liechtenstein,1001.281624395586,322
Maldives,997.4147023927709,323
United States Virgin Islands,988.9008261742176,324
Mongolia,981.2130052817439,325
Guam,975.0661497892164,326
Northern Mariana Islands,967.9261939232733,327
Bahamas,957.0993569126332,328
Laos,938.5891368788162,329
American Samoa,923.5682938185482,330
Timor-Leste,904.6950995998823,331
Anguilla,901.5337340061017,332
San Marino,898.7625892206105,333
Brunei,890.8479644189129,334
Bhutan,860.1063022002074,335
Macau,839.2892617369323,336
